benefit,cost
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,176.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.0
0,288.0
0,0.0
2,0.0
0,0.0
2,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
2,0.0
0,0.0
2,0.0
0,0.0
2,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,0.0
2,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
0,0.0
2,0.0
2,0.0
2,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,0.0
2,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
0,0.0
2,0.0
2,0.0
2,0.0
0,0.0
0,0.0
2,0.0
0,0.0
0,0.0
2,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
2,0.0
2,0.0
2,0.0
0,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
0,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
2,0.0
0,0.0
